,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
188,Marathon Donut & Coffee,QUICK BITES,3.7,20.0,3300 Midland Avenue,Chinese,15.0,Scarborough
189,Babu,QUICK BITES,3.3,15.0,4810 Sheppard Avenue East,Indian,20.0,Scarborough
190,Hanabi Sushi,CASUAL DINING,3.4,22.0,4188 Finch Avenue E,Japanese,25.0,Scarborough
191,Simply Frosted Cupcakery,BAKERY,3.5,6.0,5550 Lawrence Avenue,Bakery,15.0,Scarborough
192,The Royal Chinese Restaurant,CASUAL DINING,3.2,8.0,3587 Sheppard Avenue E,Chinese,25.0,Scarborough
193,Shahi Karahi,CASUAL DINING,2.9,21.0,633 Markham Road,Indian,30.0,Scarborough
194,Fisherman Villa,CASUAL DINING,3.4,23.0,25 Glen Watford Drive,Chinese,35.0,Scarborough
195,Queen Victoria's Pub,CASUAL DINING,3.8,23.0,2240 Midland Avenue,Bar Food,60.0,Scarborough
196,Dumplings Garden,QUICK BITES,3.7,21.0,4800 Sheppard Avenue East,Chinese,25.0,Scarborough
197,Wan Lee Chinese Restaurant,CASUAL DINING,3.6,24.0,5651 Steeles Avenue E,Chinese,25.0,Scarborough
198,Osmow's,QUICK BITES,3.7,26.0,790 Military Trail,Mediterranean,30.0,Scarborough
199,PizzaLand,QUICK BITES,3.9,19.0,1801 Lawrence Avenue E,Fast Food,25.0,Scarborough
200,AllStar Wings & Ribs,BAR,3.2,22.0,1215 McCowan Road,Bar Food,50.0,Scarborough
201,Great Fountain Fast Food,Other,3.7,5.0,8 Glen Watford Drive,Chinese,20.0,Scarborough
202,Tapps,BAR,3.5,23.0,5630 Finch Avenue East,Bar Food,40.0,Scarborough
203,Wimpy's Diner,CASUAL DINING,3.4,26.0,1496 Kingston Road,Diner,30.0,Scarborough
204,What A Bakery,BAKERY,3.8,24.0,875 Milner Avenue,Bakery,15.0,Scarborough
205,Qin Tang Taste,CASUAL DINING,3.6,5.0,1883 McNicoll Avenue,Chinese,,Scarborough
206,Hot Wok,CASUAL DINING,3.9,18.0,7 Progerss Avenue,Chinese,30.0,Scarborough
207,Honey B Hives Restaurant,CASUAL DINING,3.2,17.0,2816 Markham Road,Diner,20.0,Scarborough
208,Nakamori,CASUAL DINING,3.4,7.0,2803 Eglinton Avenue East,Japanese,25.0,Scarborough
209,Chopstick Foods,QUICK BITES,3.9,21.0,3300 Danforth Avenue,Chinese,30.0,Scarborough
210,Bendale Restaurant,CASUAL DINING,3.7,22.0,3264 Lawrence Avenue E,American,30.0,Scarborough
211,Patty King,QUICK BITES,3.6,18.0,321 Progress Road,Caribbean,13.0,Scarborough
212,LacVien,CASUAL DINING,3.2,19.0,2270 Markham Road,Vietnamese,35.0,Scarborough
213,Vincent's Spot,CASUAL DINING,3.8,24.0,2496 Kingston Road,European,,Scarborough
214,Beef Noodle Restaurant,CASUAL DINING,3.3,15.0,4271 Sheppard Avenue East,Chinese,25.0,Scarborough
215,Congee Town,CASUAL DINING,3.4,23.0,1571 Sandhurst Circle,Chinese,30.0,Scarborough
216,Peking Garden,CASUAL DINING,2.8,21.0,4532 Kingston Road,Chinese,25.0,Scarborough
217,Sushi Ichiban,CASUAL DINING,3.1,13.0,80 Ellesmere Road,Japanese,40.0,Scarborough
218,Kelseys Original Roadhouse,CASUAL DINING,2.7,21.0,1972 Eglinton Avenue East,American,65.0,Scarborough
219,Highland Fish & Chips,CASUAL DINING,3.9,22.0,3357 Ellesmere Road,British,40.0,Scarborough
220,Fishmen Wharf Seafood,CASUAL DINING,3.2,7.0,4080 Steeles Avenue E,Seafood,85.0,Scarborough
221,Milliken Bar & Restaurant,CASUAL DINING,3.4,14.0,4016 Finch Avenue East,Chinese,30.0,Scarborough
222,Aioli Bistro,CASUAL DINING,3.3,23.0,2446 Kingston Road,French,60.0,Scarborough
223,The Junction Kitchen & Bar,CASUAL DINING,3.1,15.0,3820 Victoria Park Avenue,Bar Food,60.0,Scarborough
224,Zestee,CASUAL DINING,3.7,20.0,3007 Sheppard Avenue East,Fast Food,25.0,Scarborough
225,Crown Jewel Fine Dining,CASUAL DINING,3.2,9.0,325 Bamburgh Circle,Chinese,40.0,Scarborough
226,Remely's,QUICK BITES,3.8,25.0,4830 Sheppard Avenue East,Filipino,25.0,Scarborough
227,Friendship Restaurant,CASUAL DINING,3.8,18.0,2912 Sheppard Avenue East,Chinese,25.0,Scarborough
228,Super Choy,CASUAL DINING,3.7,29.0,2825 Kingston Road,Chinese,30.0,Scarborough
229,Tara Inn,BAR,3.5,21.0,2365 Kingston Road,Bar Food,50.0,Scarborough
230,Pariwar Restaurant,CASUAL DINING,3.1,20.0,1732 Lawrence Avenue E,Asian,,Scarborough
231,Snow Time,DESSERT PARLOR,3.2,8.0,3290 Midland Avenue,Desserts,10.0,Scarborough
232,Ichiban All You Can Eat,CASUAL DINING,,,4675 Steeles Avenue E,Japanese,35.0,Scarborough
233,Crown Pastries,BAKERY,3.9,6.0,2086 Lawrence Avenue East,Desserts,10.0,Scarborough
234,Dumpling Restaurant,CASUAL DINING,3.7,14.0,4385 Sheppard Avenue East,Northern Chinese,25.0,Scarborough
235,Eggsmart,CASUAL DINING,3.1,20.0,3268 Finch Avenue East,Diner,30.0,Scarborough
236,Lucky,CASUAL DINING,3.4,18.0,2650 Lawrence Avenue E,Chinese,30.0,Scarborough
237,Pita Pit,QUICK BITES,3.5,18.0,1975 Kennedy Road,Healthy Food,25.0,Scarborough
238,Nasib's Quality,QUICK BITES,3.5,21.0,1867 Lawrence Avenue East,Lebanese,20.0,Scarborough
239,The Moose and Barrel,CASUAL DINING,2.7,19.0,16 Lebovic Avenue,Bar Food,50.0,Scarborough
240,Wei's Taiwanese Food,QUICK BITES,2.9,9.0,2578 Birchmount Road,Chinese,15.0,Scarborough
